Estimate,SE,tStat,pValue,OddsRatio
-3.55824277113058,0.68777551708605,-5.17355253674347,2.2968450145152e-07,0.0284888421711737
0.0112190517215334,0.0013002812596763,8.62817304951881,6.23397107881777e-18,1.01128222129551
0.0124464927725627,0.00277179899333888,4.49040237133856,7.10887533273903e-06,1.01252427272462
-0.00412931866157478,0.00201522146534338,-2.0490644490387,0.0404558132400875,0.995879195251811
0.00181994573745329,0.00430426150830466,0.422824155535597,0.672423562333684,1.00182160284383
-0.00181996177191184,0.00430426325927258,-0.422827708781785,0.672420969686668,0.998181693354273
-0.979571785244869,0.385921688926369,-2.53826569833385,0.0111403370745262,0.375471847016604
0.821470188991889,0.413216939493658,1.98798768994923,0.0468130514428174,2.27384035639496
-0.000153459375476016,0.000293793474681634,-0.522337589840313,0.601435301284715,0.999846552398812
-1.86077953075675e-06,2.71132512088307e-06,-0.68629893052099,0.492524623244555,0.9999981392222
0.00457111652288709,0.00199925241724394,2.28641290287326,0.0222301141922541,1.00458158001322
0.000626205655993144,0.00434924140017972,0.143980432074262,0.885515921565307,1.00062640176369
0.271071428455841,0.492602818006419,0.550283958083872,0.582124625427398,1.31136873608321
