Feature,pValue,Significant
Steel_Plate_Thickness,3.61936299046416e-31,1
Sum_of_Luminosity,4.84536376606711e-31,1
Minimum_of_Luminosity,5.55487803778397e-26,1
Pixels_Areas,1.41559073738032e-25,1
LogOfAreas,2.88584487730574e-23,1
X_Perimeter,1.50717809362788e-16,1
Outside_X_Index,3.08830602785054e-15,1
Log_X_Index,1.96130828739422e-14,1
Log_Y_Index,9.07600934412422e-14,1
X_Minimum,3.19734641843707e-13,1
X_Maximum,2.72262281568967e-10,1
Length_of_Conveyer,1.83101567276257e-08,1
SigmoidOfAreas,3.33319277833338e-06,1
Edges_Index,1.23915438837508e-05,1
Square_Index,5.3827460523746e-05,1
Y_Perimeter,6.67238869324778e-05,1
Y_Maximum,0.000279947140183922,1
Y_Minimum,0.000280310649155749,1
Edges_X_Index,0.0010063933585211,1
Edges_Y_Index,0.00385240911568131,1
Empty_Index,0.0371031268202577,1
Orientation_Index,0.0631981149398799,0
Outside_Global_Index,0.0910122341258569,0
Luminosity_Index,0.102475839165364,0
TypeOfSteel_A300,0.740039927359027,0
TypeOfSteel_A400,0.740039927359027,0
Maximum_of_Luminosity,0.75267029968597,0
